stn;time;hto000d0;qhto000d0;mhto000d0
AIG;19860604;0;0;-
AIG;19860605;0;0;-
AIG;19860606;0;0;-
AIG;19860607;0;0;-
AIG;19860608;0;0;-
AIG;19860609;0;0;-
AIG;19860610;0;0;-
AIG;19860611;0;0;-
AIG;19860612;0;0;-
AIG;19860613;0;0;-
AIG;19860614;0;0;-
AIG;19860615;0;0;-
AIG;19860616;0;0;-
AIG;19860617;0;0;-
AIG;19860618;0;0;-
AIG;19860619;0;0;-
AIG;19860620;0;0;-
AIG;19860621;0;0;-
AIG;19860622;0;0;-
AIG;19860623;0;0;-
AIG;19860624;0;0;-
AIG;19860625;0;0;-
AIG;19860626;0;0;-
AIG;19860627;0;0;-
AIG;19860628;0;0;-
AIG;19860629;0;0;-
AIG;19860630;0;0;-
AIG;19860701;0;0;-
AIG;19860702;0;0;-
AIG;19860703;0;0;-
AIG;19860704;0;0;-
AIG;19860705;0;0;-
AIG;19860706;0;0;-
AIG;19860707;0;0;-
AIG;19860708;0;0;-
AIG;19860709;0;0;-
AIG;19860710;0;0;-
AIG;19860711;0;0;-
AIG;19860712;0;0;-
AIG;19860713;0;0;-
AIG;19860714;0;0;-
AIG;19860715;0;0;-
AIG;19860716;0;0;-
AIG;19860717;0;0;-
AIG;19860718;0;0;-
AIG;19860719;0;0;-
AIG;19860720;0;0;-
AIG;19860721;0;0;-
AIG;19860722;0;0;-
AIG;19860723;0;0;-
AIG;19860724;0;0;-
AIG;19860725;0;0;-
AIG;19860726;0;0;-
AIG;19860727;0;0;-
AIG;19860728;0;0;-
AIG;19860729;0;0;-
AIG;19860730;0;0;-
AIG;19860731;0;0;-
AIG;19860801;0;0;-
AIG;19860802;0;0;-
AIG;19860803;0;0;-
AIG;19860804;0;0;-
AIG;19860805;0;0;-
AIG;19860806;0;0;-
AIG;19860807;0;0;-
AIG;19860808;0;0;-
AIG;19860809;0;0;-
AIG;19860810;0;0;-
AIG;19860811;0;0;-
AIG;19860812;0;0;-
AIG;19860813;0;0;-
AIG;19860814;0;0;-
AIG;19860815;0;0;-
AIG;19860816;0;0;-
AIG;19860817;0;0;-
AIG;19860818;0;0;-
AIG;19860819;0;0;-
AIG;19860820;0;0;-
AIG;19860821;0;0;-
AIG;19860822;0;0;-
AIG;19860823;0;0;-
AIG;19860824;0;0;-
AIG;19860825;0;0;-
AIG;19860826;0;0;-
AIG;19860827;0;0;-
AIG;19860828;0;0;-
AIG;19860829;0;0;-
AIG;19860830;0;0;-
AIG;19860831;0;0;-
AIG;19860901;0;0;-
AIG;19860902;0;0;-
AIG;19860903;0;0;-
AIG;19860904;0;0;-
AIG;19860905;0;0;-
AIG;19860906;0;0;-
AIG;19860907;0;0;-
AIG;19860908;0;0;-
AIG;19860909;0;0;-
AIG;19860910;0;0;-
AIG;19860911;0;0;-
AIG;19860912;0;0;-
AIG;19860913;0;0;-
AIG;19860914;0;0;-
AIG;19860915;0;0;-
AIG;19860916;0;0;-
AIG;19860917;0;0;-
AIG;19860918;0;0;-
